Year,Month,day_of_week,hour_of_day,origin,destination,estimated_ridership
2025,1,Monday,5,3,7,0.8575
2025,1,Monday,5,5,10,0.2738
2025,1,Monday,5,8,11,2.6192
2025,1,Monday,5,9,3,0.2918
2025,1,Monday,5,11,3,2.5945
2025,1,Monday,5,0,3,0.3215
2025,1,Monday,5,0,2,1.3747
2025,1,Monday,5,0,11,0.3332
2025,1,Monday,5,6,11,0.325
2025,1,Monday,5,5,2,3.672
2025,1,Monday,5,8,0,5.8855
2025,1,Monday,5,6,8,0.297
2025,1,Monday,5,8,3,0.8787
2025,1,Monday,5,4,1,0.2612
2025,1,Monday,5,11,2,3.8205
2025,1,Monday,5,1,3,0.3438
2025,1,Monday,5,3,11,0.3125
2025,1,Monday,5,5,11,1.4333
2025,1,Monday,5,4,3,0.25
2025,1,Monday,5,3,1,0.8575
2025,1,Monday,5,8,10,0.29
2025,1,Monday,5,0,8,1.3645
2025,1,Monday,5,8,4,1.696
2025,1,Monday,5,5,3,3.3698
2025,1,Monday,5,1,8,0.7
2025,1,Monday,5,5,1,6.8708
2025,1,Monday,5,2,9,0.293
2025,1,Monday,5,5,0,3.9875
2025,1,Monday,5,2,7,0.2763
2025,1,Monday,5,7,0,2.4915
2025,1,Monday,5,9,2,1.5538
2025,1,Monday,5,4,0,2.2015
2025,1,Monday,5,11,5,0.5977
2025,1,Monday,5,11,1,1.1467
2025,1,Monday,5,3,2,0.2673
2025,1,Monday,5,2,6,1.1543
2025,1,Monday,5,9,0,1.9268
2025,1,Monday,5,7,2,0.6168
2025,1,Monday,5,9,4,0.3167
2025,1,Monday,5,8,2,2.2045
2025,1,Monday,5,4,8,1.1457
2025,1,Monday,5,4,9,0.3055
2025,1,Monday,5,6,2,0.2895
2025,1,Monday,5,11,6,2.173
2025,1,Monday,5,8,1,2.412
2025,1,Monday,5,4,2,3.5715
2025,1,Monday,5,4,11,0.2777
2025,1,Monday,5,5,4,0.307
2025,1,Monday,5,2,0,0.25
2025,1,Monday,5,7,11,1.318
2025,1,Monday,5,10,0,0.3167
2025,1,Monday,5,10,2,1.5302
2025,1,Monday,5,3,0,0.2673
2025,1,Monday,5,11,8,0.2763
2025,1,Monday,5,0,4,0.75
2025,1,Monday,5,11,9,1.7825
2025,1,Monday,5,11,0,0.325
2025,1,Monday,5,7,10,0.2885
2025,1,Monday,5,5,7,0.2817
2025,1,Monday,5,6,4,0.2632
2025,1,Monday,5,7,3,1.2295
2025,1,Monday,5,7,4,1.2028
2025,1,Monday,5,9,1,0.5953
2025,1,Monday,5,0,6,0.3332
2025,1,Monday,17,2,6,0.2925
2025,1,Monday,17,6,8,5.85
2025,1,Monday,17,3,2,6.6778
